Sr No, Restaurant Name, Address, average_cost_for_two, Ratings
"Ganesh Bhel","Ganesh Bhel, Opposite Fergusson College main gate, F.C Road, Shivajinagar, Pune",550,"3.6"
"Nation 52 Kitchens","Pilachi Wadi, Shivaji Nagar, Behind Sai Petra, Shivaji Nagar, Pune",550,0
"Sethi's","3rd Floor, Chinar Heights, Deep Bungalow Chowk, Model Colony Shivaji Nagar, Pune",550,0
"Hotel Sandeep","Railway Station Road, Opposite ST Stand, Narveer Tanaji Wadi, Shivaji Nagar, Pune",500,"3.1"
"Hotel Satkar","ST Stand, Shivaji Nagar, Pune",500,"3.2"
"Hotel Sagar","Shop 7, Opposite S.T. Stand, Shivaji Nagar, Pune",500,"3.3"
"Laddro Cafe","Shop 2, Vrundavinam Society, 1094 Deep Bunglow Chowk, Model Colony, Near DSK Showroom, Shivaji Nagar, Pune",400,"3.5"
"Hotel Trupti","Ground Floor, Park Lodge Building, Opposite ST Stand, Shivaji Nagar, Pune",400,"3.3"
"Spices And Chillies","444, Maankar Building, Shivajinagar Gaonthan, Shivaji Nagar, Pune",400,0
"Jagdamba Biryani House","Geetanjali Apartment, KB Joshi Path, Narveer Tanaji Wadi, Shivajinagar, Pune",400,0
"Hotel Hindavi Swaraj","404/B, Shivaji Nagar, Pune",400,0
"Cafe Spicy Sugar","Shop 1, Ground Floor, Kunal Complex, Near Lenskart, Jangali Maharaj Road, Shivaji Nagar, Pune",400,0
"Laddro Cafe","Shop 2, Vrundavinam Society, 1094 Deep Bunglow Chowk, Model Colony, Near DSK Showroom, Shivaji Nagar, Pune",400,"3.5"
"Tea Post","JM Road, Near Aurelia 1/2 3, Ground Floor, Lokmat Bhavan, Shivaji Nagar, Pune",300,"3.4"
"Silver Leaf","Centurion Hotel, Opposite Akashwani, Next to SSC Board, Shivaji Nagar, Pune",1200,"3.2"
"WS Bakers","Shop No-5, Mantri Co-Op, Hsg Soc, Narveer Tanaji, Near Sakhar Sankul, Narveer Tanaji Wadi, Pune",200,"3.4"
"CAD (M) CAD(B)","364/365, Near Bank Of Maharashtra, Shivaji Nagar, Pune",250,"3.6"
"Hotel Sandeep","Railway Station Road, Opposite ST Stand, Narveer Tanaji Wadi, Shivaji Nagar, Pune",500,"3.1"
"Cafe Lucky","110/17, Shivaji Nagar, Pune",250,"3.3"
"Baggu's Dosa House","Shop 3, Sulaxmi Chamber, Dnyaneshwar Paduka Chowk, Shivaji Nagar, Pune",200,"3.5"
"Cafe Park","Ground Floor, Park Lodge Building, Opposite ST Stand",250,"2.8"
"Cafe Coffee Day","Survey 813/A, Pradip Chambers, Bhandarkar Road, Shivaji Nagar, Pune",700,"3.2"
"Swara Family Restaurant","Opposite To Bal Gangadar Mandir, Shivaji Nagar, Pune",600,"3.2"
"Cafe Bollywood","Pune Central Mall, Ganeshkhind Road, Shivaji Nagar, Pune",250,"2.7"
"FoodSway Caffe Express","Shop 09, Patrkar Nagar, 270 MSFC Compounds, SB Road Pune, Shivaji Nagar, Pune",300,"3.2"
"Hotel Satkar","ST Stand, Shivaji Nagar, Pune",500,"3.2"
"Hotel Sagar","Shop 7, Opposite S.T. Stand, Shivaji Nagar, Pune",500,"3.3"
"Capresso Coffee","5th Floor, Pune Central Mall, Ganeshkhind Road",300,"2.9"
"Hotel Trupti","Ground Floor, Park Lodge Building, Opposite ST Stand, Shivaji Nagar, Pune",400,"3.3"
"Masoli","Near Bhave Gas Agency, Apte Road, Shivaji Nagar, Pune",700,0
"The Cafe Corner","Opposite Hero Honda Showroom, Wakdewadi, Shivaji Nagar, Pune",300,"3.1"
"Spices And Chillies","444, Maankar Building, Shivajinagar Gaonthan, Shivaji Nagar, Pune",400,0
"Ganesh Bhel","Opposite Fergusson College Main Road, F C Road Shivaji Nagar, Pune",300,"3.1"
"Flavour Stones","Shop 3, Sulaxmi Chambers, Shivaji Nagar, Pune",400,0
"Wat-a-Biryani","3rd Floor Chinar Heights, Deep Bungalow Chowk, Model Colony, Shivaji Nagar, Pune",400,0
"Ganesh Bhel","Opposite Fergusson College Main Road, F C Road Shivaji Nagar, Pune",300,"3.1"
"Pizza.in","Shivaji Nagar, Pune",300,0
"Monginis","122, Shanti plaza, Ferguson College Road, Shivajinagar, Deccan Gymkhana, Pune",300,0
"British Brewing Company","The Pavilion, Shivajinagar, Senapati Bapat Road, Pune",1600,"3.7"
"Ganesh Bhel","Ganesh Bhel, Opposite Fergusson College main gate, F.C Road, Shivajinagar, Pune",550,"3.6"
"Hotel Rachana","Shop 10, Oswal Park, Opposite ST Stand, Shivaji Nagar, Pune",800,0
"Noodle Canteen","Deccan Gymkhana, Pune",700,"4.2"
"Food Singh","3rd Floor Chinar Heights, Deep Bungalow Chowk, Model Colony, Shivaji Nagar, Pune",700,0
"Delhi Food Factory","3rd Floor, Chinar Heights, Deep Bungalow Chowk, Model Colony, Shivaji Nagar, Pune",700,0
"Chawla's 2 Online.com","3rd Floor, Chinar Heights, Deep Bungalow Chowk, Model Colony, Shivaji Nagar, Pune",700,0
"British Brewing Company","The Pavilion, Shivajinagar, Senapati Bapat Road, Pune",1600,"3.7"
"La Pizzeria","Shop F/B21, Ground Floor, Balewadi High Street Complex, Baner, Pune",1400,"4.0"
"British Brewing Company","The Pavilion, Shivajinagar, Senapati Bapat Road, Pune",1600,"3.7"
"La Pizzeria","Shop F/B21, Ground Floor, Balewadi High Street Complex, Baner, Pune",1400,"4.0"
"Hotel Rachana","Shop 10, Oswal Park, Opposite ST Stand, Shivaji Nagar, Pune",800,0
"Noodle Canteen","Deccan Gymkhana, Pune",700,"4.2"
"Food Singh","3rd Floor Chinar Heights, Deep Bungalow Chowk, Model Colony, Shivaji Nagar, Pune",700,0
"Delhi Food Factory","3rd Floor, Chinar Heights, Deep Bungalow Chowk, Model Colony, Shivaji Nagar, Pune",700,0
"Chawla's 2 Online.com","3rd Floor, Chinar Heights, Deep Bungalow Chowk, Model Colony, Shivaji Nagar, Pune",700,0
"Noodle Canteen","Deccan Gymkhana, Pune",700,"4.2"
"La Pizzeria","Shop F/B21, Ground Floor, Balewadi High Street Complex, Baner, Pune",1400,"4.0"
"Noodle Canteen","Deccan Gymkhana, Pune",700,"4.2"
"La Pizzeria","Shop F/B21, Ground Floor, Balewadi High Street Complex, Baner, Pune",1400,"4.0"
